y,x
1.57715,1
1.51367,2
1.45996,3
1.4502,4
1.46484,5
1.46484,6
1.47461,7
1.49902,8
1.53809,9
1.54785,10
1.51855,11
1.48438,12
1.48926,13
1.50391,14
1.50391,15
1.50879,16
1.51367,17
1.51367,18
1.51855,19
1.51855,20
1.52832,21
1.52832,22
1.5332,23
1.53809,24
1.54297,25
1.53809,26
1.54297,27
1.54785,28
1.55273,29
1.55273,30
1.55762,31
1.56738,32
1.5625,33
1.56738,34
1.57227,35
1.57227,36
1.57715,37
1.60645,38
1.66016,39
1.7041,40
1.73828,41
1.7627,42
1.77246,43
1.77734,44
1.75781,45
1.71387,46
1.63086,47
1.5625,48
1.55273,49
1.55762,50
1.55762,51
1.5625,52
1.5625,53
1.57227,54
1.56738,55
1.50879,56
1.40625,57
1.95313,58
2.88574,59
3.07617,60
2.2168,61
1.27441,62
1.1084,63
1.42578,64
1.51855,65
1.48438,66
1.49414,67
1.48926,68
1.49902,69
1.50391,70
1.50879,71
1.51367,72
1.51367,73
1.52344,74
1.52832,75
1.5332,76
1.5332,77
1.5332,78
1.5625,79
1.60156,80
1.63086,81
1.66504,82
1.69434,83
1.71875,84
1.74316,85
1.75781,86
1.77246,87
1.78711,88
1.79199,89
1.80176,90
1.80664,91
1.80176,92
1.79688,93
1.78223,94
1.75781,95
1.71387,96
1.66992,97
1.62109,98
1.55762,99
1.49902,100
1.45508,101
1.45508,102
1.45996,103
1.45996,104
1.47461,105
1.51367,106
1.54785,107
1.53809,108
1.50391,109
1.47949,110
1.48926,111
1.49414,112
1.50391,113
1.50879,114
1.51367,115
1.51855,116
1.52344,117
1.52832,118
1.5332,119
1.5332,120
1.5332,121
1.53809,122
1.54785,123
1.55273,124
1.55273,125
1.55273,126
1.55762,127
1.5625,128
1.5625,129
1.56738,130
1.56738,131
1.56738,132
1.57227,133
1.57715,134
1.58203,135
1.62598,136
1.67969,137
1.71387,138
1.74316,139
1.7627,140
1.77246,141
1.76758,142
1.74805,143
1.68457,144
1.59668,145
1.55273,146
1.55273,147
1.5625,148
1.5625,149
1.5625,150
1.56738,151
1.57227,152
1.56738,153
1.47949,154
1.4502,155
2.10449,156
3.0127,157
2.99805,158
2.0459,159
1.18164,160
1.14258,161
1.46973,162
1.49902,163
1.48926,164
1.49414,165
1.49414,166
1.49902,167
1.50391,168
1.50879,169
1.51367,170
1.51367,171
1.51855,172
1.51855,173
1.52344,174
1.5332,175
1.5332,176
1.55762,177
1.59668,178
1.63086,179
1.65527,180
1.68945,181
1.72363,182
1.74316,183
1.7627,184
1.78223,185
1.79199,186
1.79688,187
1.80176,188
1.80176,189
1.80176,190
1.79688,191
1.78711,192
1.75781,193
1.71875,194
1.6748,195
1.61621,196
1.55273,197
1.48926,198
1.45508,199
1.45996,200
1.46973,201
1.47949,202
1.48438,203
1.52344,204
1.55273,205
1.54297,206
1.50391,207
1.48438,208
1.49414,209
1.50391,210
1.50391,211
1.50391,212
1.50879,213
1.51367,214
1.51855,215
1.52344,216
1.52344,217
1.5332,218
1.5332,219
1.53809,220
1.54297,221
1.54297,222
1.54785,223
1.55273,224
1.54785,225
1.55273,226
1.55762,227
1.5625,228
1.5625,229
1.56738,230
1.56738,231
1.57227,232
1.5918,233
1.64063,234
1.68457,235
1.71875,236
1.74316,237
1.7627,238
1.77246,239
1.76758,240
1.7334,241
1.66992,242
1.58203,243
1.54785,244
1.55762,245
1.5625,246
1.5625,247
1.5625,248
1.5625,249
1.56738,250
1.55273,251
1.44043,252
1.5625,253
2.34863,254
3.10059,255
2.79785,256
1.87012,257
1.11816,258
1.19141,259
1.50879,260
1.48926,261
1.49902,262
1.49414,263
1.49902,264
1.50391,265
1.51367,266
1.51367,267
1.51367,268
1.52344,269
1.52832,270
1.5332,271
1.52832,272
1.5332,273
1.54785,274
1.57715,275
1.61133,276
1.64063,277
1.66992,278
1.69922,279
1.72852,280
1.74805,281
1.7627,282
1.77734,283
1.78711,284
1.79688,285
1.80664,286
1.80664,287
1.80176,288
1.79199,289
1.77734,290
1.74316,291
1.7041,292
1.64551,293
1.5918,294
1.5332,295
1.46973,296
1.4502,297
1.45996,298
1.46484,299
1.46973,300
1.49414,301
1.5332,302
1.54297,303
1.52832,304
1.48926,305
1.48926,306
1.49902,307
1.49902,308
1.50391,309
1.51367,310
1.50879,311
1.51855,312
1.51855,313
1.52344,314
1.52832,315
1.52832,316
1.52832,317
1.54297,318
1.54297,319
1.54297,320
1.54785,321
1.55762,322
1.5625,323
1.5625,324
1.5625,325
1.5625,326
1.56738,327
1.57227,328
1.57227,329
1.58203,330
1.60156,331
1.65039,332
1.69922,333
1.7334,334
1.75781,335
1.77246,336
1.77734,337
1.76758,338
1.72852,339
1.65527,340
1.57227,341
1.54297,342
1.5625,343
1.55762,344
1.5625,345
1.5625,346
1.57227,347
1.57227,348
1.54297,349
1.39648,350
1.7041,351
2.58789,352
3.12012,353
2.65625,354
1.63086,355
1.0791,356
1.26465,357
1.52832,358
1.47949,359
1.49902,360
1.49414,361
1.50391,362
1.50391,363
1.50879,364
1.50879,365
1.51855,366
1.51855,367
1.52344,368
